,Gender,Age,Debt,Married,Bank Customer,Education,Ethnicity,Years Employed,Prior Default,Employed,Credit Score,Driving License,Citizenship,Zip Code,Income,Approved,Gender_encoded,Married_encoded,Bank Customer_encoded,Education_encoded,Ethnicity_encoded,Prior Default_encoded,Employed_encoded,Driving License_encoded,Citizenship_encoded,Approved_encoded
0,0,-0.0623208960475157,-0.9566132133203712,0,0,0,0,-0.2910826363654782,0,0,-0.2881005290905888,0,0,0.10454433002982687,-0.19541333903198896,0,1,1,0,12,7,1,1,0,0,0
1,1,2.28810133813327,-0.06005052977584876,0,0,1,1,0.2441904436241031,0,0,0.7408299319472283,0,0,-0.8196890238959819,-0.0878518797046416,0,0,1,0,10,3,1,1,0,0,0
2,1,-0.5967380204140519,-0.8561017017122409,0,0,1,1,-0.21632382631106742,0,1,-0.49388662129815225,0,0,0.5579418244085255,-0.037144334593177855,0,0,1,0,10,3,1,0,0,0,0
3,0,-0.3155991540411348,-0.6470377575673298,0,0,0,0,0.45650546417862975,0,0,0.535043839739665,1,0,-0.4883600856961636,-0.1948371169284496,0,1,1,0,12,7,1,1,1,0,0
4,0,-0.962302972784842,0.1741412922710949,0,0,0,0,-0.15352642586536236,0,1,-0.49388662129815225,0,1,-0.37210431790675375,-0.19541333903198896,0,1,1,0,12,7,1,0,0,2,0
5,0,0.0432117114498256,-0.15252112045532865,0,0,2,0,0.08271141390657576,0,1,-0.49388662129815225,1,0,1.0229648955661652,-0.19541333903198896,0,1,1,0,9,7,1,0,1,0,0
6,0,0.1352361451875075,-0.7475492691754602,0,0,3,1,1.2788523747771483,0,1,-0.49388662129815225,1,0,-0.11634162877005194,5.813622830710978,0,1,1,0,11,3,1,0,1,0,0
7,1,-0.7301312362906912,1.3722385106400086,0,0,4,0,-0.6529152770288265,0,1,-0.49388662129815225,0,0,-0.6046158534855736,0.06369453352621028,0,0,1,0,2,7,1,0,0,0,0
8,0,1.9292904726423097,-0.8561017017122409,1,1,5,1,0.5193028646243348,0,1,-0.49388662129815225,0,0,-0.023337014538524024,-0.13510209219486918,0,1,2,2,8,3,1,0,0,0,0
9,0,0.9229315275476628,0.03141494578754985,1,1,0,0,0.2815698486513085,0,1,-0.49388662129815225,1,0,-0.7673739283907474,0.08155741873593046,0,1,2,2,12,7,1,0,1,0,0
10,0,-0.8010491485289049,-0.7897641040508749,0,0,6,1,-0.017465391566334695,1,1,-0.49388662129815225,1,0,-0.32560201079098977,-0.19541333903198896,0,1,1,0,1,3,0,0,1,0,0
11,0,-0.1391486343055799,-0.5877359657185329,0,0,6,1,0.631441079705951,0,1,-0.49388662129815225,0,0,0.4416860566191156,-0.1569985321293649,0,1,1,0,1,3,1,0,0,0,0
12,1,0.5641206620567024,0.24952492597719264,0,0,5,0,-0.365841446419889,0,1,-0.49388662129815225,1,0,-1.0696389246432132,-0.19541333903198896,0,0,1,0,8,7,1,0,1,0,0
13,0,1.3940290874157943,0.25756584690584305,0,0,5,0,-0.6529152770288265,1,1,-0.49388662129815225,0,0,-1.0696389246432132,0.32126581380830455,0,1,1,0,8,7,0,0,0,0,0
14,1,1.20407039392058,1.1541285304503655,0,0,1,0,0.8302995144506837,0,0,0.9466160241547917,1,0,-1.0696389246432132,-0.19541333903198896,0,0,1,0,10,7,1,1,1,0,0
15,0,0.43072744618006314,-0.06909656582058048,1,1,5,0,-0.5901178765831214,0,0,1.563974300777482,1,0,0.7904533599873453,-0.19541333903198896,0,1,2,2,8,7,1,1,1,0,0
16,0,-0.280140197922028,-0.7807180680061432,0,0,2,0,-0.37780285602859476,0,0,0.12347165532453808,1,0,1.232225277587103,-0.19541333903198896,0,1,1,0,9,7,1,1,1,0,0
17,1,-0.7022706279113932,0.22439704807516006,0,0,1,0,0.2830650248523967,0,0,1.563974300777482,0,0,-0.37210431790675375,-0.1483552005762745,0,0,1,0,10,7,1,1,0,0,0
18,0,-0.8221556700283731,-0.906357457516306,0,0,7,1,-0.4660182518927995,0,1,-0.49388662129815225,1,0,-1.0696389246432132,-0.19541333903198896,0,1,1,0,3,3,1,0,1,0,0
19,1,-1.0467290587827152,0.7691694409912266,0,0,4,1,-0.44060025647429985,0,0,0.9466160241547917,0,0,-0.5116112392540456,-0.19541333903198896,0,0,1,0,2,3,1,1,0,0,0
20,0,-0.5545249774151154,1.304895797862561,0,0,6,0,0.08271141390657576,0,0,3.004476946230426,0,0,0.09291875325088589,0.036612094659860324,0,1,1,0,1,7,1,1,0,0,0
21,0,-0.7022706279113932,-0.7555901901041105,0,0,6,0,-0.41518226105580014,0,1,-0.49388662129815225,0,1,0.6741975921979354,-0.19541333903198896,0,1,1,0,1,7,1,0,0,2,0
22,1,1.3661684790364963,0.651570972409714,0,0,6,0,1.6900258300764077,0,0,0.7408299319472283,1,0,-1.0696389246432132,0.04659994445454258,0,0,1,0,1,7,1,1,1,0,0
23,1,-0.3502138493002625,1.9582206233154082,0,0,8,1,0.257647029433897,0,0,-0.2881005290905888,0,0,-0.37210431790675375,-0.19330052465234462,0,0,1,0,13,3,1,1,0,0,0
24,1,0.8106448331704919,0.350036437585323,0,0,1,0,-0.5153590665287107,0,0,0.12347165532453808,1,0,-0.22678460816999135,-0.19541333903198896,0,0,1,0,10,7,1,1,1,0,0
25,1,-1.3287121860156113,-0.8390147447388587,0,0,6,1,-0.21632382631106742,0,0,-0.08231443688302535,0,0,-0.4883600856961636,-0.19541333903198896,0,0,1,0,1,3,1,1,0,0,0
26,1,1.3028489145380915,1.6566860884910173,0,0,9,2,0.8796403290865948,0,0,1.3581882085699186,1,0,-1.0696389246432132,-0.19541333903198896,0,0,1,0,6,0,1,1,1,0,0
27,0,2.111650818397715,2.762312716180451,0,0,7,2,3.8206519166271153,0,0,3.004476946230426,1,0,-1.0696389246432132,-0.19541333903198896,0,1,1,0,3,0,1,1,1,0,0
28,0,2.182568730635929,0.7520824840178443,0,0,10,1,1.42836999488597,0,0,0.12347165532453808,0,0,-1.0696389246432132,-0.19541333903198896,0,1,1,0,4,3,1,1,0,0,0
29,0,0.8874725714285561,-0.7475492691754602,0,0,0,0,0.8302995144506837,0,0,0.7408299319472283,1,0,1.8367552700920342,1.7253270060992136,0,1,1,0,12,7,1,1,1,0,0
30,0,-0.19571411192415497,2.0165173000481236,0,0,11,0,0.8422609240593895,0,0,0.535043839739665,1,0,-0.09309047521216997,-0.19541333903198896,0,1,1,0,0,7,1,1,1,0,0
31,0,0.8807184845487264,1.0114021839668204,0,0,8,1,1.7154438254949078,0,0,1.1524021163623552,0,0,-1.0696389246432132,-0.19541333903198896,0,1,1,0,13,3,1,1,0,0,0
32,0,1.513914129532774,0.5681464177749658,0,0,9,2,1.6033056104132914,0,0,2.592904761815299,1,0,-1.0696389246432132,0.7649568335336124,0,1,1,0,6,0,1,1,1,0,0
33,1,0.43748153305989285,0.07362978066296458,0,0,10,0,0.8302995144506837,0,1,-0.49388662129815225,1,0,-1.0696389246432132,0.5728827990204921,0,0,1,0,4,7,1,0,1,0,0
34,1,-0.7588361055299683,1.2043842862544307,0,0,1,0,-0.5407770619472103,0,0,0.535043839739665,1,0,-1.0696389246432132,-0.0878518797046416,0,0,1,0,10,7,1,1,1,0,0
35,0,-0.3155991540411348,-0.6550786784959802,0,0,0,0,-0.06680620620224584,0,0,1.7697603929850454,1,0,1.4531112363869818,-0.18869074782402975,0,1,1,0,12,7,1,1,1,0,0
36,0,-0.36456628391990104,-0.6379917215225981,0,0,4,1,-0.11614702083815696,0,0,1.975546485192609,1,0,2.3192167064180853,-0.0584645524241342,0,1,1,0,2,3,1,1,1,0,0
37,1,-0.7233771494108615,1.4054073094706914,0,0,8,1,-0.5153590665287107,0,0,-0.08231443688302535,1,0,0.6741975921979354,-0.08958054601525968,0,0,1,0,13,3,1,1,1,0,0
38,0,-0.3223532409209645,-0.8390147447388587,1,1,4,0,-0.5901178765831214,0,0,-0.08231443688302535,0,0,0.4416860566191156,-0.09937632177542882,0,1,2,2,2,7,1,1,0,0,0
39,0,1.942798646401969,0.9360185502607226,0,0,12,3,3.645716301099794,0,0,1.7697603929850454,1,0,-0.8952552729590983,-0.13779112867805288,0,1,1,0,5,2,1,1,1,0,0
40,0,0.21966223118538056,0.8867679095727389,0,0,6,0,0.6807818943418621,0,0,1.975546485192609,1,0,-1.0696389246432132,-0.15296497740458936,0,1,1,0,1,7,1,1,1,0,0
41,0,-0.2235747203034529,2.0587321349235386,0,0,6,1,0.9304763199235943,0,0,1.7697603929850454,0,0,-1.0696389246432132,0.24309168176146462,0,1,1,0,1,3,1,1,0,0,0
42,0,-0.16025515580504815,-0.6721656354693624,0,0,0,1,-0.44060025647429985,0,0,-0.2881005290905888,0,0,0.3254302888297057,-0.17620593558067693,0,1,1,0,12,3,1,1,0,0,0
43,0,0.6764073564338734,1.8406221547338957,0,0,0,0,1.9143022602396402,0,0,0.7408299319472283,1,0,-0.6627437373802785,-0.19541333903198896,0,1,1,0,12,7,1,1,1,0,0
44,0,2.0981426446380556,4.672031436734927,1,1,6,0,7.857627659565298,0,0,7.737557067004386,0,0,-1.0696389246432132,-0.19253222851429214,0,1,2,2,1,7,1,1,0,0,0
45,0,1.9216921249025007,0.40029219338938815,0,0,6,1,0.12009081893378117,0,0,1.7697603929850454,1,0,-1.0696389246432132,-0.1408643132302628,0,1,1,0,1,3,1,1,1,0,0
46,1,0.7962923985508533,-0.5465262459591995,1,1,1,1,-0.6274972816103268,0,0,4.239193499475807,1,0,1.575179792565862,0.04199016762622769,0,0,2,2,10,3,1,1,1,0,0
